id,logtime,campaignid
"5,924656515714E+018",2018-02-22 00:11:42.694,1221633
"2,93494016185228E+018",2018-02-22 00:11:45.175,1188683
"4,5732293642019E+017",2018-02-22 00:11:46.561,1188683
"9,10443415386512E+018",2018-02-22 00:11:51.035,1232120
"8,06866991051433E+017",2018-02-22 00:11:56.208,1049355
"1,12707620605033E+018",2018-02-22 00:11:59.120,1199166
"7,25572917980672E+018",2018-02-22 00:11:59.159,1232120
"2,77868170650916E+017",2018-02-22 00:12:05.265,1020893
"8,14105127431585E+018",2018-02-22 00:12:05.928,1020893
"8,91599230076618E+018",2018-02-22 00:12:10.736,1020893
"8,90041331699389E+018",2018-02-22 00:12:11.729,1020893
"1,13135266843913E+018",2018-02-22 00:12:16.977,1221633
"8,90112744269489E+018",2018-02-22 00:12:17.271,1199166
"7,8388696735586E+018",2018-02-22 00:12:21.308,1232120
"4,51854644774996E+018",2018-02-22 00:12:27.014,1199166
"3,80336609343094E+017",2018-02-22 00:12:27.254,1221633
"4,75842969396084E+018",2018-02-22 00:12:27.625,1188683
"6,36024327546195E+017",2018-02-22 00:12:28.769,1188683
"3,89470604761798E+018",2018-02-22 00:12:29.452,1188683
"9,46782710951949E+016",2018-02-22 00:12:29.593,1199166
"3,9988573645607E+018",2018-02-22 00:12:29.822,1188683
"4,44282633453949E+018",2018-02-22 00:12:30.555,1188683
"5,1745759081249E+018",2018-02-22 00:12:30.759,1020893
"9,11613220970616E+018",2018-02-22 00:12:30.911,1188683
"6,76538855172749E+018",2018-02-22 00:12:33.364,1221633
"3,73603905659828E+018",2018-02-22 00:12:33.748,1049355
"5,14528755863879E+018",2018-02-22 00:12:34.090,1221633
"6,74329477106053E+018",2018-02-22 00:12:34.715,1188683
"2,42940294391036E+018",2018-02-22 00:12:36.051,1188683
"8,21473483745673E+018",2018-02-22 00:12:36.475,1221633
"6,21858621998654E+018",2018-02-22 00:12:37.720,1188683
"5,74282934848622E+018",2018-02-22 00:12:40.312,1221633
"2,37418614516335E+018",2018-02-22 00:12:40.535,1232120
"2,35794433880587E+018",2018-02-22 00:12:40.842,1020893
"3,98749515410387E+018",2018-02-22 00:12:41.119,1020893
"2,60419158954706E+018",2018-02-22 00:12:42.002,1188683
"7,87422733126524E+017",2018-02-22 00:12:57.065,1199166
"2,63111243796622E+017",2018-02-22 00:12:58.774,1199166
"6,17629184978517E+018",2018-02-22 00:12:59.613,1049355
"3,75711111595952E+018",2018-02-22 00:13:01.670,1188683
"6,43132619139174E+018",2018-02-22 00:13:05.333,1199166
"1,40318507107019E+018",2018-02-22 00:13:05.808,1020893
"5,32541115985936E+018",2018-02-22 00:13:12.251,1049355
"2,93267851069874E+018",2018-02-22 00:13:12.262,1221633
"4,74472064638525E+018",2018-02-22 00:13:19.066,1188683
"8,08801027689418E+018",2018-02-22 00:13:19.132,1232120
"2,11979431134263E+018",2018-02-22 00:13:21.496,1049355
"2,20472544017413E+018",2018-02-22 00:13:22.881,1049355
"1,79429386149457E+018",2018-02-22 00:13:23.660,1049355
"3,8710305349762E+018",2018-02-22 00:13:25.534,1188683
"2,60676083583761E+018",2018-02-22 00:13:26.506,1188683
"4,07605199995453E+017",2018-02-22 00:13:26.575,1232120
"5,45082276205923E+018",2018-02-22 00:13:28.588,1232120
"2,74961172616746E+018",2018-02-22 00:13:30.642,1199166
"6,19455492482619E+018",2018-02-22 00:13:30.739,1199166
"8,44912927144021E+018",2018-02-22 00:13:32.275,1049355
"7,12412796426486E+018",2018-02-22 00:13:37.237,1232120
"4,58981182754525E+018",2018-02-22 00:13:40.248,1020893
"1,28234863806459E+018",2018-02-22 00:13:47.815,1221633
"4,28884923183987E+018",2018-02-22 00:13:49.653,1221633
"5,07380515028437E+018",2018-02-22 00:13:49.934,1199166
"1,73455057922994E+018",2018-02-22 00:13:49.934,1221633
"7,03087744378879E+018",2018-02-22 00:13:50.132,1188683
"7,95492181485795E+018",2018-02-22 00:13:52.899,1221633
"1,88384769570239E+018",2018-02-22 00:13:53.278,1049355
"1,64451263075512E+018",2018-02-22 00:13:55.765,1199166
"3,95195080587971E+018",2018-02-22 00:14:02.326,1232120
"2,23079443403685E+018",2018-02-22 00:14:04.258,1049355
"7,03677389906873E+018",2018-02-22 00:14:08.316,1232120
"5,26596405041673E+018",2018-02-22 00:14:09.833,1188683
"8,75433159256394E+018",2018-02-22 00:14:10.584,1199166
"8,39690235933342E+018",2018-02-22 00:14:12.810,1188683
"8,28450872065063E+018",2018-02-22 00:14:14.203,1199166
"3,60715354015447E+018",2018-02-22 00:14:16.589,1199166
"7,84160852012905E+018",2018-02-22 00:14:16.622,1199166
"5,81219608361021E+018",2018-02-22 00:14:18.133,1020893
"5,25320575443902E+017",2018-02-22 00:14:19.644,1232120
"8,75218824921162E+018",2018-02-22 00:14:19.857,1232120
"5,41556847080054E+018",2018-02-22 00:14:21.209,1188683
"5,77438828105112E+018",2018-02-22 00:14:21.543,1188683
"3,03285132933465E+018",2018-02-22 00:14:21.663,1199166
"8,84736652426699E+018",2018-02-22 00:14:23.794,1199166
"7,47823940279216E+018",2018-02-22 00:14:23.842,1188683
"2,65161384992145E+018",2018-02-22 00:14:24.280,1049355
"6,34635794412514E+018",2018-02-22 00:14:31.194,1221633
"1,41937775992997E+018",2018-02-22 00:14:34.454,1221633
"4,96149712570448E+017",2018-02-22 00:14:35.702,1020893
"8,15343051044618E+018",2018-02-22 00:14:36.291,1221633
"7,01381306801354E+018",2018-02-22 00:14:37.262,1020893
"1,69590740094635E+018",2018-02-22 00:14:37.938,1199166
"7,90625941157041E+018",2018-02-22 00:14:42.313,1221633
"4,03095353869433E+018",2018-02-22 00:14:44.105,1221633
"5,92835074449724E+017",2018-02-22 00:14:46.357,1188683
"7,23108497710144E+018",2018-02-22 00:14:47.668,1188683
"9,9574294739195E+017",2018-02-22 00:14:48.451,1221633
"2,47422305596174E+018",2018-02-22 00:14:49.824,1049355
"4,50327678613415E+018",2018-02-22 00:14:52.330,1199166
"6,82690530904926E+017",2018-02-22 00:14:57.890,1049355
"6,55334613323908E+018",2018-02-22 00:15:01.576,1049355
"2,29461879609294E+018",2018-02-22 00:15:03.599,1049355
"3,28515838836139E+018",2018-02-22 00:15:05.205,1049355
"7,09879151631947E+018",2018-02-22 00:15:11.072,1020893
"1,00833437387376E+018",2018-02-22 00:15:14.917,1020893
"3,64989090279776E+018",2018-02-22 00:15:19.883,1188683
"3,02536074945423E+018",2018-02-22 00:15:20.479,1049355
"1,94889126604833E+018",2018-02-22 00:15:22.942,1199166
"3,96107532286427E+017",2018-02-22 00:15:23.812,1188683
"8,93011578763652E+017",2018-02-22 00:15:29.869,1232120
"4,32407720949731E+018",2018-02-22 00:15:34.104,1221633
"5,11029078979114E+018",2018-02-22 00:15:35.431,1221633
"4,79413961284102E+018",2018-02-22 00:15:35.956,1221633
"6,3959644522964E+018",2018-02-22 00:15:37.275,1188683
"5,93262106539731E+018",2018-02-22 00:15:38.347,1232120
"1,39145472487102E+016",2018-02-22 00:15:38.679,1049355
"5,5019886539218E+018",2018-02-22 00:15:40.446,1199166
"1,45714658325152E+017",2018-02-22 00:15:41.059,1221633
"2,11063441576023E+018",2018-02-22 00:15:41.872,1049355
"9,03637623390418E+018",2018-02-22 00:15:42.767,1232120
